"Value.SSB","StdDev.SSB","Value.Recr","StdDev.Recr","Value.SPRratio","StdDev.SPRratio","Value.F","StdDev.F","Value.Bratio","StdDev.Bratio","Value.ForeCatch","StdDev.ForeCatch","Value.OFLCatch","StdDev.OFLCatch","Value.lnSPB","StdDev.lnSPB","Value.SURVEY1","StdDev.SURVEY1","year","model_run","scenarios"
48603.8,1333.44,3501.47,1059.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7915,0.0274349,NA,NA,"1971","iteration_1","em_recdev_3"
48603.3,1333.38,3159.16,1147.39,0.0238486,0.000585247,0.002073,7.7673e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1972","iteration_1","em_recdev_3"
48514,1332.5,3319.89,1176.62,0.110149,0.00247918,0.0103627,0.000388502,5.14743,2.33956,NA,NA,NA,NA,NA,NA,NA,NA,"1973","iteration_1","em_recdev_3"
48067.9,1327.46,3595.75,1339.18,0.113638,0.00253666,0.0107268,0.000401036,5.1001,2.31802,NA,NA,NA,NA,NA,NA,NA,NA,"1974","iteration_1","em_recdev_3"
47538.2,1313.05,5807.82,1700.47,0.207292,0.00412429,0.0215114,0.000797796,5.0439,2.29258,NA,NA,NA,NA,NA,NA,NA,NA,"1975","iteration_1","em_recdev_3"
46435,1281.63,5279.53,2155.56,0.289991,0.00515226,0.033018,0.00121232,4.92684,2.23961,NA,NA,NA,NA,NA,NA,NA,NA,"1976","iteration_1","em_recdev_3"
44721.9,1233.04,12013.1,2481.79,0.372381,0.005866,0.0469978,0.00171033,4.74508,2.15739,NA,NA,NA,NA,NA,NA,11.985,0.119005,"1977","iteration_1","em_recdev_3"
42398.4,1171.55,5203.8,2168.3,0.446337,0.00626943,0.0624915,0.00226499,4.49855,2.04581,NA,NA,NA,NA,NA,NA,NA,NA,"1978","iteration_1","em_recdev_3"
39609.6,1101.78,6866.06,2011.64,0.513501,0.00644425,0.0799409,0.00290729,4.20266,1.91187,NA,NA,NA,NA,NA,NA,NA,NA,"1979","iteration_1","em_recdev_3"
36562.3,1026.68,4321.49,1756.39,0.617011,0.0063216,0.116585,0.00431021,3.87933,1.76557,NA,NA,NA,NA,NA,NA,11.8226,0.118161,"1980","iteration_1","em_recdev_3"
33008.7,945.835,7868.81,1905.61,0.699457,0.0058983,0.160296,0.00612286,3.50228,1.59493,NA,NA,NA,NA,NA,NA,NA,NA,"1981","iteration_1","em_recdev_3"
29157,861.995,4395.99,1877.61,0.727293,0.00576515,0.179917,0.00714534,3.09362,1.41011,NA,NA,NA,NA,NA,NA,NA,NA,"1982","iteration_1","em_recdev_3"
25773.2,782.795,10308.6,2191.28,0.755527,0.0055941,0.203553,0.00838961,2.73459,1.24814,NA,NA,NA,NA,NA,NA,11.5359,0.116471,"1983","iteration_1","em_recdev_3"
22686.8,710.254,6043.27,2063.37,0.786587,0.00538146,0.235426,0.0100928,2.40711,1.1007,NA,NA,NA,NA,NA,NA,NA,NA,"1984","iteration_1","em_recdev_3"
19738.2,645.521,5325.18,1765.75,0.807531,0.00534272,0.261639,0.0117422,2.09426,0.960018,NA,NA,NA,NA,NA,NA,NA,NA,"1985","iteration_1","em_recdev_3"
17090.7,590.864,5683.33,1631.77,0.832603,0.0052547,0.299993,0.0142672,1.81336,0.834007,NA,NA,NA,NA,9.74629,0.0345723,11.2221,0.112753,"1986","iteration_1","em_recdev_3"
14673,547.087,5112.17,1357.71,0.857691,0.0052156,0.349222,0.0179446,1.55684,0.719335,NA,NA,NA,NA,NA,NA,NA,NA,"1987","iteration_1","em_recdev_3"
12478.5,516.73,2719.84,1041.01,0.864356,0.00581136,0.364781,0.0205675,1.32399,0.615834,NA,NA,NA,NA,NA,NA,NA,NA,"1988","iteration_1","em_recdev_3"
10789.8,505.596,5218.99,1330.14,0.865364,0.00684025,0.367243,0.0229699,1.14482,0.5373,NA,NA,NA,NA,NA,NA,10.869,0.105704,"1989","iteration_1","em_recdev_3"
9506.34,515.356,5027.22,1487.71,0.86425,0.00829762,0.364525,0.0256744,1.00864,0.478952,NA,NA,NA,NA,NA,NA,NA,NA,"1990","iteration_1","em_recdev_3"
8495.58,545.093,5589.76,1935.26,0.856658,0.0104993,0.346918,0.0279212,0.901397,0.434451,NA,NA,NA,NA,NA,NA,NA,NA,"1991","iteration_1","em_recdev_3"
7728.45,592.568,22211.5,3607.81,0.790817,0.0160579,0.240369,0.0218035,0.820003,0.402469,NA,NA,NA,NA,NA,NA,10.6167,0.102197,"1992","iteration_1","em_recdev_3"
7587.07,658.572,3808.93,1612.03,0.795423,0.0181927,0.245943,0.0248811,0.805003,0.401454,NA,NA,NA,NA,NA,NA,NA,NA,"1993","iteration_1","em_recdev_3"
7457.1,743.001,5534.83,1486.71,0.78997,0.021327,0.239366,0.0273075,0.791212,0.402377,NA,NA,NA,NA,NA,NA,NA,NA,"1994","iteration_1","em_recdev_3"
7538.6,860.617,4149.16,1146.99,0.781064,0.025031,0.229213,0.0294849,0.79986,0.416004,NA,NA,NA,NA,NA,NA,10.8713,0.113185,"1995","iteration_1","em_recdev_3"
8035.31,1040.19,3105.53,1021.01,0.756558,0.0299814,0.204502,0.0292814,0.852562,0.4541,NA,NA,NA,NA,NA,NA,NA,NA,"1996","iteration_1","em_recdev_3"
9041.71,1300.86,5188.38,1576.65,0.656887,0.0385053,0.135529,0.0209964,0.959343,0.522425,NA,NA,NA,NA,NA,NA,NA,NA,"1997","iteration_1","em_recdev_3"
10567.5,1623.91,4008.84,1404.52,0.627564,0.0422855,0.121267,0.0199406,1.12123,0.620046,NA,NA,NA,NA,NA,NA,11.0388,0.134383,"1998","iteration_1","em_recdev_3"
12000.1,1966.54,2580.22,1022.28,0.601193,0.0458737,0.10996,0.0191551,1.27323,0.715012,NA,NA,NA,NA,NA,NA,NA,NA,"1999","iteration_1","em_recdev_3"
13147.6,2295.89,4642.71,1846.51,0.595048,0.049073,0.107503,0.0198619,1.39499,0.795796,NA,NA,NA,NA,NA,NA,NA,NA,"2000","iteration_1","em_recdev_3"
13914.8,2596.65,3529.72,1599.18,0.578694,0.0526487,0.10126,0.0198538,1.47639,0.856776,NA,NA,NA,NA,9.54071,0.18661,11.0908,0.158969,"2001","iteration_1","em_recdev_3"
14405.9,2866.35,6153.65,3768.63,0.486798,0.0277472,0.0725425,0.00753878,1.5285,0.902637,2183.18,642.233,3251.9,640.953,NA,NA,NA,NA,"2002","iteration_1","em_recdev_3"
14943.6,2862.49,6171.04,3772.13,0.491774,0.0254011,0.0738712,0.00706512,1.58554,0.928395,2276.24,632.261,3330.36,630.786,NA,NA,NA,NA,"2003","iteration_1","em_recdev_3"
15263.9,2813.84,6180.86,3774.12,0.494536,0.0237998,0.0746184,0.00672002,1.61953,0.940654,2333.45,615.271,3380.35,613.005,NA,NA,NA,NA,"2004","iteration_1","em_recdev_3"
15444.6,2731.04,6186.24,3775.12,0.496033,0.0227462,0.0750263,0.00648354,1.63871,0.944104,2374.96,594.064,3422.18,590.648,NA,NA,NA,NA,"2005","iteration_1","em_recdev_3"
15582.6,2631.5,6190.27,3775.82,0.497148,0.0225369,0.0753313,0.00645767,1.65335,0.94488,2420.31,571.352,3473.94,566.773,NA,NA,NA,NA,"2006","iteration_1","em_recdev_3"
15772.9,2548.2,6195.71,3776.97,0.498646,0.0237448,0.0757432,0.00681451,1.67353,0.949636,2483.14,548.846,3545.6,543.499,NA,NA,NA,NA,"2007","iteration_1","em_recdev_3"
16070.6,2526.09,6203.99,3778.99,0.500906,0.0264723,0.0763681,0.00760245,1.70512,0.962963,2567.92,527.342,3637.79,521.965,NA,NA,NA,NA,"2008","iteration_1","em_recdev_3"
16478.1,2595.42,6214.87,3781.9,0.50384,0.0301676,0.0771868,0.00869019,1.74836,0.985752,2671.13,507.435,3745.19,502.819,NA,NA,NA,NA,"2009","iteration_1","em_recdev_3"
16964.5,2751.97,6227.22,3785.42,0.507124,0.0341462,0.0781127,0.00989509,1.79997,1.01599,2785.4,489.766,3860.5,486.459,NA,NA,NA,NA,"2010","iteration_1","em_recdev_3"
17490.3,2967.21,6239.85,3789.22,0.51043,0.0379471,0.0790555,0.0110817,1.85576,1.05056,2903.1,474.789,3977,472.991,NA,NA,NA,NA,"2011","iteration_1","em_recdev_3"
49210.4,1578,4199.25,1432.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8039,0.0320665,NA,NA,"1971","iteration_2","em_recdev_3"
49209.9,1577.93,6102.45,1968.53,0.0238602,0.000698247,0.00219067,0.00010451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1972","iteration_2","em_recdev_3"
49120.6,1577.03,3890.04,1587.32,0.109686,0.00293948,0.010908,0.000520732,4.05534,1.40729,NA,NA,NA,NA,NA,NA,NA,NA,"1973","iteration_2","em_recdev_3"
48680.1,1572.13,4139.13,1810.37,0.110047,0.00293929,0.0109478,0.00052201,4.01897,1.39477,NA,NA,NA,NA,NA,NA,NA,NA,"1974","iteration_2","em_recdev_3"
48202.9,1558.14,20122,2938.56,0.204144,0.00485938,0.0223626,0.00106153,3.97957,1.38132,NA,NA,NA,NA,NA,NA,NA,NA,"1975","iteration_2","em_recdev_3"
47225.4,1527.32,7378.15,2373.29,0.286459,0.00609258,0.034453,0.00162695,3.89888,1.35382,NA,NA,NA,NA,NA,NA,NA,NA,"1976","iteration_2","em_recdev_3"
45752.7,1478.69,2861.37,1169.68,0.364509,0.00689886,0.0483731,0.00227636,3.7773,1.31245,NA,NA,NA,NA,NA,NA,12.1624,0.130413,"1977","iteration_2","em_recdev_3"
43848.6,1416.83,3016.58,1075.99,0.426595,0.00729394,0.061738,0.00291095,3.62009,1.25903,NA,NA,NA,NA,NA,NA,NA,NA,"1978","iteration_2","em_recdev_3"
