###
console output
2024-04-30 17:30:06.950645
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 5 at Tue Apr 30 17:10:33 2024
phase= 1 | nvar=  3 | iter=  0 | nll=1.63e+03 | mag=2.30e+05 | par[  1]=SR_parm[1]
phase= 1 | nvar=  3 | iter= 15 | nll=1.03e+03 | mag=1.43e+00 | par[  1]=SR_parm[1]
phase= 2 | nvar= 38 | iter=  0 | nll=1.03e+03 | mag=1.17e+04 | par[ 36]=selparm[1]
phase= 2 | nvar= 38 | iter= 20 | nll=7.77e+02 | mag=4.70e+05 | par[  2]=SR_parm[1]
phase= 2 | nvar= 38 | iter= 40 | nll=7.58e+02 | mag=4.88e+06 | par[  2]=SR_parm[1]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=60332.1
phase= 2 | nvar= 38 | iter= 57 | nll=7.40e+02 | mag=6.03e+04 | par[  2]=SR_parm[1]
phase= 3 | nvar= 40 | iter=  0 | nll=7.40e+02 | mag=6.03e+04 | par[  2]=SR_parm[1]
phase= 3 | nvar= 40 | iter= 20 | nll=7.04e+02 | mag=1.10e+06 | par[  2]=SR_parm[1]
phase= 3 | nvar= 40 | iter= 40 | nll=7.02e+02 | mag=1.73e+06 | par[  2]=SR_parm[1]
phase= 3 | nvar= 40 | iter= 60 | nll=6.90e+02 | mag=2.22e+05 | par[  2]=SR_parm[1]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=1.70339e+06
phase= 3 | nvar= 40 | iter= 63 | nll=6.90e+02 | mag=1.70e+06 | par[  2]=SR_parm[1]
phase= 4 | nvar= 50 | iter=  0 | nll=6.90e+02 | mag=1.70e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter= 20 | nll=6.85e+02 | mag=6.05e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter= 40 | nll=6.83e+02 | mag=6.32e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter= 60 | nll=6.76e+02 | mag=4.84e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter= 80 | nll=6.72e+02 | mag=4.42e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=100 | nll=6.71e+02 | mag=9.03e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=120 | nll=6.71e+02 | mag=1.36e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=140 | nll=6.71e+02 | mag=7.30e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=160 | nll=6.70e+02 | mag=3.07e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=180 | nll=6.69e+02 | mag=2.09e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=200 | nll=6.69e+02 | mag=1.28e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=220 | nll=6.69e+02 | mag=9.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=240 | nll=6.68e+02 | mag=5.37e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=260 | nll=6.68e+02 | mag=1.92e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=280 | nll=6.68e+02 | mag=2.76e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=300 | nll=6.68e+02 | mag=8.63e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=320 | nll=6.68e+02 | mag=7.71e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=340 | nll=6.67e+02 | mag=8.61e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=360 | nll=6.67e+02 | mag=6.76e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=380 | nll=6.67e+02 | mag=6.51e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=400 | nll=6.67e+02 | mag=6.13e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=420 | nll=6.67e+02 | mag=8.38e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=440 | nll=6.67e+02 | mag=3.93e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=460 | nll=6.67e+02 | mag=5.10e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=480 | nll=6.67e+02 | mag=6.21e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=500 | nll=6.67e+02 | mag=4.19e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=520 | nll=6.67e+02 | mag=6.16e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=540 | nll=6.67e+02 | mag=3.84e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=560 | nll=6.67e+02 | mag=2.12e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=580 | nll=6.67e+02 | mag=4.53e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=600 | nll=6.67e+02 | mag=7.14e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=620 | nll=6.67e+02 | mag=5.94e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=640 | nll=6.67e+02 | mag=2.11e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=660 | nll=6.67e+02 | mag=6.40e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=680 | nll=6.67e+02 | mag=2.51e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=700 | nll=6.67e+02 | mag=2.73e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=720 | nll=6.67e+02 | mag=6.22e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=740 | nll=6.67e+02 | mag=7.21e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=760 | nll=6.67e+02 | mag=2.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=780 | nll=6.67e+02 | mag=6.99e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=800 | nll=6.67e+02 | mag=3.61e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=820 | nll=6.67e+02 | mag=6.54e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=840 | nll=6.67e+02 | mag=3.69e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=860 | nll=6.67e+02 | mag=6.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=880 | nll=6.67e+02 | mag=6.35e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=900 | nll=6.67e+02 | mag=2.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=920 | nll=6.67e+02 | mag=4.71e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=940 | nll=6.67e+02 | mag=1.55e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=960 | nll=6.67e+02 | mag=4.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=980 | nll=6.67e+02 | mag=4.32e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1000 | nll=6.67e+02 | mag=3.72e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1020 | nll=6.67e+02 | mag=6.40e+04 | par[  6]=SR_parm[1]
