"file","caption","alt_text","category","png_time","StartTime"
"sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel11_timevary_surf_flt1sex1.png","Time-varying selectivity for Fish1",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel12_timevary_contour_flt1sex1.png","Time-varying selectivity for Fish1",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel13_age_flt1sex1.png","Ending year selectivity for Fish1",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel11_timevary_surf_flt2sex1.png","Time-varying selectivity for Fish2",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel12_timevary_contour_flt2sex1.png","Time-varying selectivity for Fish2",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel13_age_flt2sex1.png","Ending year selectivity for Fish2",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel14_age_flt3sex1.png","Ending year selectivity for Surv1",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel14_age_flt5sex1.png","Ending year selectivity for Surv3",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel14_age_flt6sex1.png","Ending year selectivity for Surv4",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel14_age_flt7sex1.png","Ending year selectivity for Surv5",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel14_age_flt8sex1.png","Ending year selectivity for Surv6",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"sel14_age_flt9sex1.png","Ending year selectivity for Surv7",NA,"Sel",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"ts7_Spawning_biomass_(mt).png","Spawning biomass (mt)",NA,"Timeseries",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"ts7_Spawning_biomass_(mt)_with_95_asymptotic_intervals_intervals.png","Spawning biomass (mt) with ~95% asymptotic intervals",NA,"Timeseries",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"ts9_Relative_spawning_biomass.png","Relative spawning biomass: B/B_0",NA,"Timeseries",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"ts9_Relative_spawning_biomass_intervals.png","Relative spawning biomass: B/B_0 with ~95% asymptotic intervals",NA,"Timeseries",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"ts1_Total_biomass_(mt).png","Total biomass (mt)",NA,"Timeseries",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
"ts4_Summary_biomass_(mt).png","Summary biomass (mt)",NA,"Timeseries",2024-04-30 20:25:24.870985,"StartTime: Tue Apr 30 20:23:45 2024"
