"model","em","iteration","model_converged","model_runtime","model_name"
"BigSkate_2019","recdev_1","iteration_1","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_1-iteration_1"
"BigSkate_2019","recdev_1","iteration_10","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_1-iteration_10"
"BigSkate_2019","recdev_1","iteration_2","TRUE","11.3742082675298","BigSkate_2019-em_recdev_1-iteration_2"
"BigSkate_2019","recdev_1","iteration_3","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_1-iteration_3"
"BigSkate_2019","recdev_1","iteration_4","TRUE","9.83702788352966","BigSkate_2019-em_recdev_1-iteration_4"
"BigSkate_2019","recdev_1","iteration_5","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_1-iteration_5"
"BigSkate_2019","recdev_1","iteration_6","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_1-iteration_6"
"BigSkate_2019","recdev_1","iteration_7","TRUE","10.0961215496063","BigSkate_2019-em_recdev_1-iteration_7"
"BigSkate_2019","recdev_1","iteration_8","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_1-iteration_8"
"BigSkate_2019","recdev_1","iteration_9","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_1-iteration_9"
"BigSkate_2019","recdev_2","iteration_1","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_2-iteration_1"
"BigSkate_2019","recdev_2","iteration_10","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_2-iteration_10"
"BigSkate_2019","recdev_2","iteration_2","TRUE","10.998700817426","BigSkate_2019-em_recdev_2-iteration_2"
"BigSkate_2019","recdev_2","iteration_3","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_2-iteration_3"
"BigSkate_2019","recdev_2","iteration_4","TRUE","7.37543700138728","BigSkate_2019-em_recdev_2-iteration_4"
"BigSkate_2019","recdev_2","iteration_5","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_2-iteration_5"
"BigSkate_2019","recdev_2","iteration_6","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_2-iteration_6"
"BigSkate_2019","recdev_2","iteration_7","TRUE","9.85216406583786","BigSkate_2019-em_recdev_2-iteration_7"
"BigSkate_2019","recdev_2","iteration_8","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_2-iteration_8"
"BigSkate_2019","recdev_2","iteration_9","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_2-iteration_9"
"BigSkate_2019","recdev_3","iteration_1","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_3-iteration_1"
"BigSkate_2019","recdev_3","iteration_10","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_3-iteration_10"
"BigSkate_2019","recdev_3","iteration_2","TRUE","11.2830112338066","BigSkate_2019-em_recdev_3-iteration_2"
"BigSkate_2019","recdev_3","iteration_3","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_3-iteration_3"
"BigSkate_2019","recdev_3","iteration_4","TRUE","9.81777379910151","BigSkate_2019-em_recdev_3-iteration_4"
"BigSkate_2019","recdev_3","iteration_5","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_3-iteration_5"
"BigSkate_2019","recdev_3","iteration_6","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_3-iteration_6"
"BigSkate_2019","recdev_3","iteration_7","TRUE","9.83127333323161","BigSkate_2019-em_recdev_3-iteration_7"
"BigSkate_2019","recdev_3","iteration_8","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_3-iteration_8"
"BigSkate_2019","recdev_3","iteration_9","FALSE","MODEL DID NOT RUN","BigSkate_2019-em_recdev_3-iteration_9"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_1","TRUE","3.91461129983266","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_1"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_10","TRUE","1.70219455162684","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_10"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_2","TRUE","3.80300133228302","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_2"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_3","TRUE","1.876458132267","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_3"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_4","TRUE","2.23487278223038","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_4"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_5","TRUE","2.39945988257726","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_5"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_6","TRUE","1.86711736520131","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_6"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_7","TRUE","2.45123341480891","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_7"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_8","TRUE","2.35421443382899","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_8"
"Empirical_Wtatage_Age_Selex","recdev_1","iteration_9","TRUE","1.87101101875305","Empirical_Wtatage_Age_Selex-em_recdev_1-iteration_9"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_1","TRUE","3.89820464849472","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_1"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_10","TRUE","1.76691841681798","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_10"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_2","TRUE","2.47355356613795","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_2"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_3","TRUE","2.4908607840538","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_3"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_4","TRUE","2.30175843238831","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_4"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_5","TRUE","1.81792678435644","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_5"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_6","TRUE","2.51282756725947","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_6"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_7","TRUE","2.2667253335317","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_7"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_8","TRUE","1.66317348480225","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_8"
"Empirical_Wtatage_Age_Selex","recdev_2","iteration_9","TRUE","2.50239616632462","Empirical_Wtatage_Age_Selex-em_recdev_2-iteration_9"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_1","TRUE","3.15444473028183","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_1"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_10","TRUE","1.60303808053335","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_10"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_2","TRUE","3.91618440151215","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_2"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_3","TRUE","1.89636961619059","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_3"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_4","TRUE","2.50380589962006","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_4"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_5","TRUE","2.38447215159734","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_5"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_6","TRUE","1.75543449719747","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_6"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_7","TRUE","2.37478048404058","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_7"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_8","TRUE","2.48807820081711","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_8"
"Empirical_Wtatage_Age_Selex","recdev_3","iteration_9","TRUE","1.81281674702962","Empirical_Wtatage_Age_Selex-em_recdev_3-iteration_9"
"growth_timevary","recdev_1","iteration_1","TRUE","4.42294894854228","growth_timevary-em_recdev_1-iteration_1"
"growth_timevary","recdev_1","iteration_10","FALSE","0.733605500062307","growth_timevary-em_recdev_1-iteration_10"
"growth_timevary","recdev_1","iteration_2","TRUE","2.03600140015284","growth_timevary-em_recdev_1-iteration_2"
"growth_timevary","recdev_1","iteration_3","TRUE","2.87826670010885","growth_timevary-em_recdev_1-iteration_3"
"growth_timevary","recdev_1","iteration_4","TRUE","1.90251630147298","growth_timevary-em_recdev_1-iteration_4"
"growth_timevary","recdev_1","iteration_5","TRUE","1.58263923327128","growth_timevary-em_recdev_1-iteration_5"
"growth_timevary","recdev_1","iteration_6","FALSE","1.2464614311854","growth_timevary-em_recdev_1-iteration_6"
"growth_timevary","recdev_1","iteration_7","TRUE","3.78883600234985","growth_timevary-em_recdev_1-iteration_7"
"growth_timevary","recdev_1","iteration_8","TRUE","2.17291016976039","growth_timevary-em_recdev_1-iteration_8"
"growth_timevary","recdev_1","iteration_9","FALSE","0.750036382675171","growth_timevary-em_recdev_1-iteration_9"
"growth_timevary","recdev_2","iteration_1","TRUE","4.41908931732178","growth_timevary-em_recdev_2-iteration_1"
"growth_timevary","recdev_2","iteration_10","FALSE","1.01792261600494","growth_timevary-em_recdev_2-iteration_10"
"growth_timevary","recdev_2","iteration_2","TRUE","3.16175183455149","growth_timevary-em_recdev_2-iteration_2"
"growth_timevary","recdev_2","iteration_3","TRUE","2.12470124959946","growth_timevary-em_recdev_2-iteration_3"
"growth_timevary","recdev_2","iteration_4","TRUE","2.03545315265656","growth_timevary-em_recdev_2-iteration_4"
"growth_timevary","recdev_2","iteration_5","TRUE","2.21220261653264","growth_timevary-em_recdev_2-iteration_5"
"growth_timevary","recdev_2","iteration_6","FALSE","0.911353496710459","growth_timevary-em_recdev_2-iteration_6"
"growth_timevary","recdev_2","iteration_7","TRUE","3.88356288274129","growth_timevary-em_recdev_2-iteration_7"
"growth_timevary","recdev_2","iteration_8","TRUE","2.51746078332265","growth_timevary-em_recdev_2-iteration_8"
"growth_timevary","recdev_2","iteration_9","FALSE","0.547201081116994","growth_timevary-em_recdev_2-iteration_9"
"growth_timevary","recdev_3","iteration_1","TRUE","4.43575491905212","growth_timevary-em_recdev_3-iteration_1"
