"","model","em","iteration","model_converged","model_runtime"
"1","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why."
"2","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why."
"3","BigSkate_2019","recdev_1","iteration_2","TRUE","11.3742082675298"
"4","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why."
"5","BigSkate_2019","recdev_1","iteration_4","TRUE","9.83702788352966"
"6","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why."
"7","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why."
"8","BigSkate_2019","recdev_1","iteration_7","TRUE","10.0961215496063"
"9","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why."
"10","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why."
"11","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why."
"12","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why."
"13","BigSkate_2019","recdev_2","iteration_2","TRUE","10.998700817426"
"14","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why."
"15","BigSkate_2019","recdev_2","iteration_4","TRUE","7.37543700138728"
"16","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why."
