###
console output
2024-04-30 17:17:31.062815
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 5 at Tue Apr 30 17:15:25 2024
1 1 -log(L): 1249.29  Spbio: 17407.6 3057.84
phase= 1 | nvar= 43 | iter=  0 | nll=1.25e+03 | mag=3.35e+03 | par[  1]=SR_parm[1]
1 2 -log(L): 1249.27  Spbio: 17408.5 3058.9
1 3 -log(L): 1249.07  Spbio: 17417.6 3069.43
1 4 -log(L): 1247.28  Spbio: 17508.7 3174.8
1 5 -log(L): 1243.3  Spbio: 17503.1 3163.51
1 6 -log(L): 1207.7  Spbio: 17447.8 3067.67
1 7 -log(L): 1149.66  Spbio: 17674.1 3431.85
1 8 -log(L): 1184.8  Spbio: 16046.5 3017.33
1 9 -log(L): 1126.97  Spbio: 17026.6 3079.91
1 10 -log(L): 1149.56  Spbio: 18185 4637.11
1 11 -log(L): 1119.98  Spbio: 17382.9 3475.95
1 12 -log(L): 1133.16  Spbio: 17673.2 4221.82
1 13 -log(L): 1118.19  Spbio: 17456.8 3636.14
1 14 -log(L): 1116.93  Spbio: 17325 3639.78
1 15 -log(L): 1116.78  Spbio: 17114.2 3647.94
1 16 -log(L): 1116.39  Spbio: 17247.4 3639.06
1 17 -log(L): 1116.25  Spbio: 17172 3646.78
1 18 -log(L): 1116.13  Spbio: 17171.5 3652.35
1 19 -log(L): 1115.98  Spbio: 17161.9 3663.77
1 20 -log(L): 1115.82  Spbio: 17134 3673.91
1 21 -log(L): 1115.73  Spbio: 17077.1 3670.38
1 22 -log(L): 1115.66  Spbio: 17081.1 3677.9
1 23 -log(L): 1115.56  Spbio: 17041.8 3664.13
1 24 -log(L): 1115.38  Spbio: 17025.5 3657.69
1 25 -log(L): 1115.04  Spbio: 17018.7 3655.79
1 26 -log(L): 1114.38  Spbio: 17021.1 3660.78
1 27 -log(L): 1109.71  Spbio: 17045.3 3730.34
1 28 -log(L): 1101.22  Spbio: 16952.3 3657.76
1 29 -log(L): 1089.02  Spbio: 16970.4 3638.32
phase= 1 | nvar= 43 | iter= 20 | nll=1.09e+03 | mag=5.64e+02 | par[  1]=SR_parm[1]
1 30 -log(L): 1078.95  Spbio: 16698.6 3640.54
1 31 -log(L): 1069.81  Spbio: 16924.5 3643.92
1 32 -log(L): 1071.45  Spbio: 17482.5 4027.49
1 33 -log(L): 1065.6  Spbio: 17179.3 3768.63
1 34 -log(L): 1088.22  Spbio: 17710.2 4097.75
1 35 -log(L): 1065.01  Spbio: 17253.4 3783.37
1 36 -log(L): 1066.77  Spbio: 17167.1 3811.79
1 37 -log(L): 1064.9  Spbio: 17235.8 3785.5
1 38 -log(L): 1064.79  Spbio: 17280.4 3803.19
1 39 -log(L): 1064.83  Spbio: 17311.7 3836.24
